name,degree centrality,freeman_network_centrality
Pada_Sweat16,0.20561177552897883,0.6182425189764896
Proud_Sweat16,0.28794848206071755,0.6182425189764896
Ant_Sweat16,0.25528978840846367,0.6182425189764896
Petch_Sweat16,0.265869365225391,0.6182425189764896
Ae_Sweat16,0.28380864765409386,0.6182425189764896
anny_sweat16,0.2201011959521619,0.6182425189764896
MahnmookSweat16,0.6198252069917203,0.6182425189764896
Mint_Sweat16,0.35211591536338543,0.6182425189764896
Pim_Sweat16,0.34337626494940204,0.6182425189764896
Sonja_Sweat16,0.34291628334866603,0.6182425189764896
Music_Sweat16,0.359475620975161,0.6182425189764896
Fame_Sweat16,0.2562097516099356,0.6182425189764896
Nink_Sweat16,0.2672493100275989,0.6182425189764896
